review#,submission#,review_assignment#,reviewer name,field#,review_comments,overall evaluation - score (ignore),overall evaluation score,subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),subreviewer info (ignore),Date of review submission,Time of review submission,recommendation for best paper
416,111,58,P??xxxx Caxxx,3,"(OVERALL EVALUATION) This paper presents a feature engineering study for the task of author name disambiguation (AND).

Although the proposal could be useful to the community, I believe the work is too superficial to add any value to the existing literature. First, very few features were tested. Second, features were not studied individually and we are given no information of their prevalence in the dataset. Finally, it is not clear why use neural networks for this type of test when simpler classifiers, (i.e. classifiers where the impact of each feature is much more easy to interpret) are available.","Overall evaluation: -1
Reviewer's confidence: 3
Recommend for best paper: no",-1,,,,,2/16/2018,15:27,no
417,111,407,Jixx W,4,"(OVERALL EVALUATION) This paper provides little novel contribution compared with the paper published in TPDL 2017 by the same author. In fact, in the TPDL 2017 paper, the authors used a more sophisticated method and careful comparison. For example, the NN contained multiple hidden layers instead of only 1. The title was broken into 2, 3,4, and 5 ngrams. The authors also compared DBLP, Microsoft Academic Graph data, and two w2v implementations. In the JCDL 2018 paper, the author crafted two simple ""semantic features"" by (1) converting the ""most significant"" tokens of two titles into vectors and calculate their cosine similarities and (2) calculating the cosine distances of the most semantic similar words in the title. In particular, the authors did not perform any comparison with the TPDL results though they come from very similar ideas. In fact, the TPDL results beat the JCDL results even in the best scenario. 

The paper ignores the state-of-the-art works on the author name disambiguations, such as Treeratpituk et al. (2009) and Clotta et al. (2007). These work address both aspects of name disambiguation: different people with the same surface name, and different surface name belonging to the same person. This paper only addresses the first one and only considers titles. The experiments are based on cleaned and completed metadata (DBLP) in only computer science. The proposed method will fail when the same author publishes in multiple disciplines, which becomes more common.","Overall evaluation: -1
Reviewer's confidence: 4
Recommend for best paper: no",-1,,,,,2/24/2018,20:05,no
418,112,275,Fedxxxxx Naxx,1,"(OVERALL EVALUATION) The paper presents a method for detecting and distinguishing same-name entities in a knowledge base via hierarchical clustering. 

While reading the paper, I've encountered the following issues:

- It is hard for me to understand why this work should be relevant for the digital library community. I see that it could have implications for our works (for example through the use of entity linking), but the authors do not motivate why they submitted a knowledge-base paper to JCDL.

- I have found the description of the method in section 3 extremely difficult to follow. Instead of offering two different schema (Fig 1 and 2), it would be better to have a figure with a clear example.

- There is no comparison with other approaches for performing the task, apart from a very-similar previous approach presented by the same authors. The authors could, for example, experiment with approaches from the literature on detecting errors in relations in a KB (see [1] as a starting point).

- The adopted datasets are not clearly described, I would recommend the authors to present them in a different section and offer additional information, starting with a URL. For example, I imagine that the authors are referring to a different D-Lib (http://www.dlib.org/), as they say that most of the articles are in Chinese. I would additionally recommend the authors to also employ resources in English, in order to compare with approaches for similar tasks developed by the community [2].

 - Finally, I would recommend the authors -- if they do intend to re-submit this work to a digital library conference -- to use the 2 additional pages (the submitted paper is 8 pages long, while JCDL accepts full paper up to 10 pages) for showing useful applications of this technology in digital libraries.

For these reasons, I have to recommend rejection.

[1] Melo, Andr??, and Heiko Paulheim. ""Detection of Relation Assertion Errors in Knowledge Graphs."" Proceedings of the Knowledge Capture Conference. ACM, 2017.

[2] Gardner, Matt, and Tom Mitchell. ""Efficient and expressive knowledge base completion using subgraph feature extraction."" Proceedings of the 2015 Conference on Empirical Methods in Natural Language Processing. 2015.","Overall evaluation: -2
Reviewer's confidence: 3
Recommend for best paper: no",-2,,,,,2/5/2018,14:33,no
419,112,374,Domxxxxx Tkxxxx,2,"(OVERALL EVALUATION) The paper describes a clustering method for detecting incorrectly merged entities in knowledge bases. In general, this is an interesting task and relevant to digital libraries. The research described in the paper is fairly novel. The paper is well written and easy to understand. I believe it would be a good contribution to JCDL.

The methodology is well-designed. I wonder if it would be possible to enhance proposed method with reasoning over the entities themselves, similarly as described in the introduction. For example, if we know that tripleA cannot belong to the same entity as tripleB (because of the year of birth and death inconsistency), maybe these triples should never be merged in clustering, regardless of their occurrence vectors?

I also noticed some problems with the evaluation. The authors use accuracy and recall to evaluate their approach, and the immediate question is why precision is not given. Also, F-score is calculated from accuracy and recall, which is not correct (F-score is a harmonic mean of precision and recall). I strongly suggest correcting these issues.

Minor issues:

1. ""Hierarchical clustering is performed on the set of description documents of triples of an instance."" I believe the clustering is performed on the set of triples, not documents.

2. The paper lacks the details about finding the mentions of instances and objects in the text. Is it based on equal matching only? Does it take into account variations in the names, such as ""I. Newton"" vs. ""Isaak Newton""? Also, does it process correctly referring to the instances by words such as ""he"" ""she"", etc. (coreference resolution)?

3. In section first 3.2 the occurrence vectors are defined as binary vectors, but in equations (2) and (3) it seems like the elements of the vectors are the number of occurrences. This is a bit confusing.

4. Equation (4) could be written compactly as V1 + V2, the sum of vectors is a well-defined operation.

5. Determination of the threshold of similarity?€?length ratio. The authors write ""An appropriate threshold should be determined by domain experts based on the characteristics of the corpus and the nature of the instances for inspection."" It might be worth mentioning that choosing the threshold could also be done using a validation corpus.

6. In the evaluation recall is calculated as ""number of detected same-name instances"" / ""..."" I think it should be ""number of _correctly_ detected same-name instances"".","Overall evaluation: 2
Reviewer's confidence: 3
Recommend for best paper: no",2,,,,,2/12/2018,15:03,no
420,112,107,Andxxxxx Ferxxxx,4,"(OVERALL EVALUATION) In the paper, the authors propose an approach to detect entity mixture in knowledge bases, i.e. attributes of entities erroneously attributed to other entities. This is a relevant problem, can occur mainly due to the fact that many entities have the same name, and  can decrease the quality of services built on knowledge bases.

The proposed approach for identifying mixed entities is based on a collection of documents. The authors identify the documents from the collection, in which the pairs of instance and object names, obtained from each triplet, co-occur, creating occurrence vectors for each pair.

The authors perform a hierarchical clustering technique to group the vectors of the same entity. If the number of clusters is at least equals to 2, the authors assume the existing of entity mixture.

What is the effectiveness of the method in identifying/splitting the data of the mixed entities?

The authors should explain the division by the minimum length of the vectors in the similarity-length ratio.

The definition of the similarity-length threshold value is not intuitive. The value of this threshold is crucial for the correct implementation of the approach.

The authors must improve the related work.

Positive points:
- The authors present a simple approach for detecting mixture entities based on a corpus and a hierarchical clustering technique.
- The approach presented in the paper aims to check the quality of a knowledge base on all triples of an entity.


Negative points:
- The replicability of the experiments is not possible. The dataset is not available. 
- The abstract and introduction do not summarize the results of the paper.
- The definition of the similarity threshold value is not intuitive.
- Figure 1 needs for improvement.
- The corpus of documents and the entities/triples used in the experimental evaluation are not available.
- The authors do not check the resulting clusters for verifying the correct grouping of the vectors.
- There is no analysis of failure case.
- The authors did not take advantage of the set of pages available to carry out a better experimental evaluation of the proposed approach.
- The originality of the paper is not clear compared with the paper [31].

?€??€? organization owing to its structured representation?€??€? --> ?€?organization due to its structured representation?€?","Overall evaluation: 0
Reviewer's confidence: 4
Recommend for best paper: no",0,,,,,2/16/2018,15:48,no
421,113,40,Joxx Borxxxx,1,"(OVERALL EVALUATION) This paper proposes a solution for a PID infrastructure as an extension of the already existing ""Handle System"" created by the CNRI and now managed by the DONE Foundation...

A knowledgeable reader can understand the general motivation for this problem, but the paper really never explains it in a way that can explain to a reader ""why this and this way""?

The related work is spread by the sections I and II (in fact, we can find more related work in I than in II...), and then the requirements for the solution that is proposed never are explained. This means we are presented with a proposal of a solution for a problem that we might be aware in general terms, but we never are explained in detail enough to make us judge if the solution is appropriate or not... 

Concluding, we can understand that the proposed solution can result in a working service, but we cannot conclude why is it better than any other existing solution (e.g., DOI, for example...), or what particular aspects of the problem is it intending to prov...

This seems to be work from the ""RDA PID Kernel Information WG"", but it never is clarified if there is any connection to the work of the ""RDA Data Citation WG""... I believe the results of the WG (and the state of the art in data citation and metadata for scientific data) should be taken in consideration to support this work! Maybe the authors had did it, and simply had ""jump"" to the solution without feeling the need to report that in the paper, but frankly speaking, in my understanding of the problem, the consolidation of those requirements are the true core challenge of this problem! I believe that once the community can reach a consensus on those functional issues, the technical solutions can be straightforward, considering the present state of the art of the technology...

Finally,the non-functional performance analysis can be relevant, but not necessarily a core issue to deserve so much ""space"" in the paper... it looks a bit naive claiming the  processing performance of an information entity only depends of its size, and not also of its structure (in simple terms, it is always faster to process one attribute with a 1KB value than 1k attributes with 1byte value each...)

Suggestions for revision of the text: 

(in abstract) ""The Persistent Identi???er (PID) is a globally ..."" should be ""A Persistent Identi???er (PID) is a globally ...""

(1st page, second paragraph) ""A PID must be globally unique - unlike people, who can both have the same name, there can be only one PID."" maybe should be ""A PID must be globally unique - unlike people, who can both have the same name, there can be only one WITH A SPECIFIC PID.""

(page 9, first paragraph): These two sentences ""are strange"": ""We compare the provenance view generated from a full provenance capture system. Then using the model of minimal provenance stored to the PID record, we compare.""

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This could be a poster... I'm confused with it as a paper... it seems more a report of a project, done in a context where some ""wider"" issues were taken in consideration, but that are here not explained in the paper to make us access it properly...","Overall evaluation: 0
Reviewer's confidence: 4
Recommend for best paper: no",0,,,,,2/11/2018,20:04,no
424,113,426,Zhxxxx Zhxx,2,"(OVERALL EVALUATION) This paper studied the Persistent Identifier (PID) problem, and proposed to add PID Kernel information and profile and data typing into a PID system. The overall conclusion is that this proposal can help data sharing at affordable extra cost.

Many readers will not be very familiar with the PID system. 

I agree with other reviewers that this paper may lack one key piece, which is comparison with some alternative methods such as HTTP link headers and DOI, as suggested by other reviewers. Otherwise it is not convincing why the proposed method is superior.","Overall evaluation: 0
Reviewer's confidence: 2
Recommend for best paper: no",0,,,,,3/9/2018,5:33,no
425,113,105,Mohxxxx Maxxx,3,"(OVERALL EVALUATION) This paper aim to illustrate the performance implications of the addition of the PID kernel information and data typing to the PID resolution process.

The writing of the paper is poor and shallow. No clear justification of what is the importance of the work. The evaluation section is very weak. Saying that adding 20% (which is dramatically worse) is acceptable regarding the benefits added by the kernel information is not a clear, sound evidence. 

Abstract, Related work, Conclusion are very short. Some related papers are mentioned in different parts. They all should be put in one place (related work). 

You are measuring the response time and not using it to measure the enhanced PID without justification. 

What is the x-axis of Figure 7? What is the right part of figure 10 talking about?

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) The paper would be more suitable for short paper submission.","Overall evaluation: -1
Reviewer's confidence: 4
Recommend for best paper: no",-1,,,,,2/23/2018,11:56,no
426,113,75,Yixxxx Cxx,4,"(OVERALL EVALUATION) This paper proposes a good idea to add PID Kernel Information to a PID system and provides a real-world use case. The most important conclusion from this paper is that the addition of 20% service time performance cost and the PID Kernel Information record should be no larger than 500KB in size. However, it is not clear that how this 20% be set and would be better to have some references or more experiment results to backup this argument. 

Need more detailed explanation of the handshake diagrams. In Fig 1, according to the paper, the only difference between (a) and (b) is that (b) added a step to use PID to get retrieve information from Data Type Registry. Thus, in (b), should the PID: 11723/fpp/bar2 change to Handle: 11723/foo/bar2? Should the ?€?Resolved PID?€? be ?€?Resolved Handle with PID?€?? 

In Fig 2, it looks that the client also needs to change in order to handle the different format of the response. However, I don?€?t see the description about how to accommodate this change and what performance will be affected in the paper.

In Fig 3. It looks like the key-value pairs are ?€?Data Type?€?(key) and ?€?Data Value?€?(value). So what is Index field in the diagram?

In Fig 4. The name field is missing in ?€?Simple Data DTRecord?€?. Should ?€?Scope: Range:?€? change to ?€?Range:?€??

In Table I: There is no explanation on ?€?Instantiated Size?€? and ?€?Template Size?€?.  Which one is the size of ?€?type definition?€??

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I am not sure if this paper is relevance to JCDL 2018 theme.","Overall evaluation: 0
Reviewer's confidence: 3
Recommend for best paper: no",0,,,,,2/23/2018,13:30,no
427,114,243,Kxx L,1,"(OVERALL EVALUATION) The paper proposes a new method to rank scientific papers and venues that considers citation time interval, the venue, and the citing papers. Papers and venues are positioned in a heterogeneous network to iteratively update their scores. The method is evaluated on the AAN dataset and compared to several other ranking methods. The paper claims superior performance of the new method. 
In fact, considering the prestige of citing venues and citation time intervals is not new. The contribution of this work is to combine the factors in a heterogeneous network to mutually reinforce venue and paper scores. The paper should be more precise about its contribution.
My primary concern is on the experimental design and evaluations. The results provided in the paper do not fully support the claim:
For example, Table 1 only provides results from MR-Rank without comparisons to other methods. 
The use of mIF is not clearly explained. Is it calculated per year for each venue or across the years? If calculated per year, the total number of papers (e.g. ACL 2002) is a constant, and the number of citation can only go up each year, thus mIF can only go up. Comparing other methods to mIF may not be a good evaluation method.  
It?€?s not very clear what the purpose of Figure 2 is, because it does not compare the methods. I assume you can calculate other measures by year, and they would vary as well.
The paper performance is not convincing. It uses the correlation between earlier performance (1997 - 2002) and later performance (2003 - 2012) to evaluate the methods. The correlation just indicates the consistency of the methods. But consistency is not indicative of their accuracy. 
Therefore, from the results presented in the paper, it is hard to claim the better performance of the new method. If the authors intend to show superior performance, they should design better experiments. 
Some minor things:
1.	The first three equations in section 3.1 should be numbered as well.
2.	Is there any particular reason that the citations between venues do not consider the time interval weights?
3.	Equation 2 has the direction wrong, should be from citing j to cited i.
4.	Equation 4, W_vv(v_i, v_j) should be W_vv(v_j, v_i), because v_j is the citing, v_i is the cited. Vs(v_i) should probably should Vs(v_j).","Overall evaluation: 0
Reviewer's confidence: 4
Recommend for best paper: no",0,,,,,2/2/2018,17:10,no
429,114,259,Phixxxx Mxx,2,"(OVERALL EVALUATION) This is a strong short paper with lots of material included. The idea of the paper is excellent:  introducing novel ranking techniques for scientific papers and venues. This is very relevant for JCDL. 

The MR-Rank approach (the main algorithm) and the results look very promising.

I wonder: How are completely new venues ranked where you have no PageRank as starting point? Is the MR approach capable to solve that issue.

Conclusion is too short. The authors should say something about their approach in a more heterogeneous setting. AAN is a narrow and small community. A snapshot of Web of Science would be an interesting bigger data set.

Minor points:

- SJR and SIF are not introduced
- Abbreviations of venues are not introduced (CL, ACL, ...)
- ""In this table, 5 out of 10 top-ranked papers (in bold) are published in top 6 venues (in bold)."" -> should be ""... are published in top _4_ venues (in bold)""?
- references can be shortened to get more space which is necessary to extend conclusions

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) A good short paper.","Overall evaluation: 1
Reviewer's confidence: 3
Recommend for best paper: no",1,,,,,2/21/2018,22:11,no
431,114,232,Albxxxx Laxxxx,3,"(OVERALL EVALUATION) This short paper proposes a ranking strategy specifically designed for scientific papers and venues. The proposed strategy is based on a heterogenous network that consists of three distinct sub-networks: a paper citation network, a venue citation network and a bipartite network that ties papers and venues. The paper is in general well structured, but requires a detailed proofreading to improve its text. Moreover, although the reported results seem promising, they require a more detailed discussion to support some specific claims.

Positive Aspects
- The paper addresses a topic that is relevant to JCDL.
- The paper is in general well structured.
- Results seem promising.

Negative Aspects
- The paper requires a detailed revision by a professional proofreader to improve its text.
- Even considering that this is a short paper, experimental results require a deeper discussion.
- Several important issues in the paper are left without an explanation.
- References have been misplaced in several parts of the text.
- The paper does not follow the ACM style adopted by JCDL.

Specific Comments

1. The paper title is misleading when refers to ?€?Heterogeneous Academic Networks?€?.  Why do you use the term ?€?heterogenous?€?? Although your network is composed of heterogeneous nodes, the term ?€?heterogeneous academic network?€? seems misleading in the context of this work (see https://en.wikipedia.org/wiki/Heterogeneous_network). Maybe ?€?multi-node?€? is a more appropriate term. Check this throughout the paper.

2. Some terms in the text are used interchangeably, which is not  appropriate in a scientific paper. For example, you use ?€?measure?€? with the meaning of ?€?metric?€?, but ""measure"" express the size, amount or degree of something  (e.g, in Sect 1, first paragraph: ?€?However, many such classical measures are based on ?€??€?. The word ?€?metrics?€? is the most appropriate in this case). It seems that you also use the words ?€?framework?€?, ?€?algorithm?€? and ?€?method?€? interchangeably throughout the paper (see, for instance, the title and the second subtitle of Sect 3, as well as the discussions in Sect 4.3, 4.4 and 5). It is better to adopt one of these three terms and use it consistently throughout of text.

3. References have been misplaced in several parts of the paper. For instance, in the third paragraph of Sect 2 (Related Work), Meng et al. is not reference [15]; in fact there is no reference Meng et al., but Meng and Kennedy [5]. Also there is no Yan and Ding [16], but Yan, Ding and Sugimoto [15]. Also, Tri-Rank is not reference [17], but [16]. Check the references throughout the paper (or use an automatic citation tool). 

4. Still regarding references, they should be cited in the same order they appear in the list of references. Thus, [11-13, 4] should be [4, 11-13]. Also, do not use a reference number as the subject of a sentence. For example, ?€?Among all the works ?€?, [17] is the most relevant to our work.?€? Replace this by ?€?Among all the works ?€?, that by Hassan and Getoor [17] is the most relevant to ours.?€? In this same paragraph there are other examples of this kind of construction that should be rephrased. In addition, according to the ACM paper style adopted by JCDL, references should be listed in alphabetic order, not in the order they are cited in the paper. 

5. It seems that the authors have not used the proper ACM template when preparing this manuscript. The following comments should be taken into consideration: 

a) Section titles should have all its words capitalized.
1 INTRODUCTION
2 RELATED WORK
3 THE MR-RANK FRAMEWORK
4 EXPERIMENTS
5 CONCLUSIONS
 
b) Subsection titles should have the first letter of each word capitalized. 
3.1 Preliminaries 
3.2 The Ranking Algorithm
4.1 Dataset and Settings

6. At the end of Sect 1, you refer to the dataset used in the experiments as the AAN dataset. However, reference [6] refers to it as the ACL anthology corpus. Check how this dataset should be named.

7. A brief  paragraph describing the paper structure should be added to the end of Sect 1.

8. When describing your algorithm (Sect 3.2), Rule 1 refers to AVE_Vs (v_k) as ?€?the average score that venue  v_k obtains in the last three years?€?. Why three years? Please explain this decision. Also, explain the role of the parameter alpha.

9. When describing equation (3) in Rule 2 (Sect 3.2), invert the order of the components (3) and (4) so that they can follow the same order they appear in (2).

10. For better reading, rephrase the last sentence of the paragraph that describes Algorithm 1 by removing the itemization as follows: ?€?More specifically, at each iteration step, we (1) update the scores of all the papers using Rule 1 and (2) update the scores of all the venues by using Rule 2.?€?

11. Sect 4.1 (Dataset and Settings) should justify the choice of the baselines. Although the choice of PageRank and HITS might be obvious, you should at least comment of the other ones, which seem to be variations of the proposed algorithm. Also, the parameter setup described at the end of this section also requires some explanation. You cannot just say that it is ?€?good for performance prediction of papers.?€?

12. Explanation in footnote 2 is not clear. Please, justify your choice.

13. Try to explain why HITS has obtained the smallest precision value. Just making such an observation is not enough!

14. Results expressed by the graphs in Sect. 4.2, 4.3 and 4.4 should be discussed in more details.

15. The paper requires a detailed proofreading in order to correct many typos and grammatical errors throughout the text. As a specific point, numbers from 1 to 9 should be written out. For instance,  the caption of Fig. 3 should be: ?€?Convergence rate of the six algorithms.?€?

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) This short paper addresses a topic that is relevant to JCDL and presents some preliminary results very promising. However, it seems it has been written in a hurry and the authors had no time to proofread it properly. The text has many typos and grammatical errors, and the results are just superficially described. Besides, the paper does not properly follow the ACM template, which shows some carelessness from the authors. In view of that, I do not recommend the acceptance of this, even considering the promising results reported.","Overall evaluation: -1
Reviewer's confidence: 4
Recommend for best paper: no",-1,,,,,2/25/2018,1:06,no
432,114,186,Bixx Inxxx,4,"(OVERALL EVALUATION) This short paper presents the MR-Rank (Mutual Reinforcement Ranking) method for ranking journals by simultaneously ranking papers and venues based on heterogeneous networks. Compared to previous work, the authors include the citation time interval and past performance of a venue in their ranking method, giving higher scores to papers with short citation intervals published in prestigious venues. This study provides insights that can help guide future research in journal ranking based on analyzing mutual reinforcement in heterogeneous networks.

Overall, I think this is a good study. Although I would have liked to see how MR-Rank compares to more contemporary ranking methods, especially those that also use mutual reinforcement, like Tri-Rank, which was mentioned in Related Work. 

Finally, it is unclear to me what sets this study apart from other recently published studies: 

D. Yu et al, ""A multiple-link, mutually reinforced journal-ranking model to measure the prestige of journals,"" Scientometrics, vol. 111, (1), pp. 521-542, 2017.

X. Jiang et al, ""Exploiting heterogeneous scientific literature networks to combat ranking bias: Evidence from the computational linguistics area: Exploiting Heterogeneous Scientific Literature Networks for Fighting against Ranking Bias: Evidence from the Computational Linguistics Area,"" Journal of the Association for Information Science and Technology, vol. 67, (7), pp. 1679-1702, 2016.","Overall evaluation: 1
Reviewer's confidence: 3
Recommend for best paper: no",1,,,,,2/23/2018,4:38,no
438,115,411,Zhxxx Xx,1,"(OVERALL EVALUATION) This paper developed a method to identify and quantify changes in the playback of archived web pages. The results are interesting and useful, but I have a number of reservations.

The results show none of the discovered differences is malicious, and all replaying changes seem reasonable. The value of the paper, instead of being about the trust of individual archive, would be either on the limitation of the current archival crawler method (in comparison to, e.g., the screenshot method, which does not suffer this problem but has its own set of limitations), or the unreasonable expectation of static replaying from crawled mementos. In this sense, Michael's evil archive is but a remote possibility not yet materialized. Trust and third-party certification is indeed necessary, but this paper has not shed light on how to do so. It only tells us how not to do so, which is obvious.

Also, it's not clear if the selection of URI-Rs and URI-Ms is sufficiently random to accurately represent the archival quality of each archive. Also, since many changes are caused by the way webpages are constructed, an archive's selection of URI-Rs may affect the percentage of changing reconstructions.

It's not clear why Merkle tree is necessary or advantageous in detecting changes. What are the differences from simply using ""diff""?

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I would agree to accept the paper as a short paper focusing on the experiments and results, but limit extrapolating the results to the trust issue.","Overall evaluation: 0
Reviewer's confidence: 5
Recommend for best paper: no",0,,,,,2/19/2018,0:25,no
439,115,396,Nicxxxxx Woxx,2,"(OVERALL EVALUATION) The authors outline the issues in adapting cryptographic hashing methods to web archives. The paper does a good job framing the importance of the need for trust measures and tamper detection for web archives in terms of legal and civic contexts. It presupposes a bit of knowledge from the reader regarding the HTTP and Memento Protocols, although most basic concepts like URI-Rs & URI-Ms, etc. are defined early on.

The methodology is a bit hard to follow at times. For example, in 3.1 Table 1 tells us the total URI-Rs collected from each source; however, there?€?s an ordering pattern to the list of URI-Rs, e.g., Moz then Memento damage URI-Rs then alternating patterns for the HTTP Archive and WAHR (10 URI-Rs and switch back and forth between the two collections until a limit of 10000 was hit). Is table 1 necessary? Would a table detailing a composition the URI-Rs actually used (e.g. the 10,000) make more sense instead?

The titles for tables 3-5 are fairly vague. I understand from the text that table 3 represents new URI-Rs extracted from the mementos in Table 2. Table 4 includes URI-Rs from a list provided directly by the archival institutions and Table 5 is generated from the authors?€? Python script. As a bit of reinforcement, the table titles should reflect something of the URI-Rs origins.
  
I?€?m not clear on why 200 URI-Rs was selected as the minimum threshold for including smaller archives in the comparison? Is that a robust enough number? It?€?s also not clear how the URI-Ms are distributed temporally for each archive. Would that have impacted the final ChangeM scores? Some archives may skew more recent than others and would likely have more JavaScript issues. 

It is novel in there?€?s a detailed discussion on how fixity is complicated within web archives and there have been no studies the consistency of hashes of mementos and no comparisons of such across different web archives that I?€?ve come across. The conclusion would be stronger if the authors could speak a little more toward possible applications of their findings and ways forward.","Overall evaluation: 1
Reviewer's confidence: 3
Recommend for best paper: no",1,,,,,2/15/2018,18:58,no
441,115,367,Nicxxxxx Taxxx,3,"(OVERALL EVALUATION) Authors retrieved and hashed a set of composite mementos from multiple web archives on a repeat basis to assess the stability of their fixity. They found that almost 20% of composite mementos did not have a stable hash across the successive measurements, due to changes in HTTP status code, HTTP entity, TimeMap, HTTP response headers, and dynamic values generated by JavaScript.

Authors correctly observe that the reliability of web archives is presently largely based on institutional reputation, and this is likewise the case for web archives as applied in litigation. In the legal context, this has started to give way to a concern with provenance - e.g., can Internet Archive attest to the conditions of the generation of all subsets of archived web data made accessible through the Wayback Machine? There are at least a few more web archive-specific considerations - e.g., completeness and temporal coherence - that likely pose more conspicuous reliability concerns to courts than non-repeatability of hashes for composite mementos. Nonetheless, authors have highlighted a legitimate and novel reliability measure worth taking into account.

I think the article could benefit from further discussion of the importance of the findings. The results suggest the hash value for a composite memento may not be a reliable indicator of the reliability of that memento or of its parent web archive, since that value may vary due to any number of apparently common non-malicious and unpredictable changes. Considering the litigation context, the study is therefore principally useful in affirming that discrepancies in repeated hash checks of a composite memento cannot be taken for granted to mean that the information or web archive itself has been corrupted. That is a conclusion some ways away from having a new tool to detect malicious alteration of archived web resources.

It strikes me that if the devised method for hashing of composite mementos is to be useful for assessing reliability, web archive systems need to be better architected to minimize or mitigate these copious instances of false positives. Do specific recommendations for the enhancement of web archive systems follow from this research? If so, it would be great to see those unpacked.

A few additional questions for the authors:
* Could cached responses from a CDX server API serve some role in evaluating memento fixity over time? What about identifying identical mementos stored in different web archives?
* Why do you suppose there was the degree of observed variability in cumulative change across web archives? It did not seem to correlate with the web archive replay system employed.

A couple of quibbles:
1: ""We introduced some requirements to be fulfilled in order to generate repeatable hashes...(1) A generated hash must be repeatable"".
This seems like circular logic.

2: ""OpenWayback will replay the content of any selected archived web page in the browser.""
It might be worth qualifying that only those mementos in the index for that particular OpenWayback instance may be replayed.

A couple of copyedits needed:
5: ""The last column 'Transformation' in the table indicates different type of modification performed by the archive.""
7: ""This is indicted by a change in the 'Location' HTTP header.""","Overall evaluation: 2
Reviewer's confidence: 3
Recommend for best paper: no",2,,,,,2/18/2018,23:12,no
442,115,354,Vexxxx Srixxxxxx,4,"(OVERALL EVALUATION) The paper talks about an interesting approach to identifying and quantifying changes to archived webpages. The authors retrieve webpages from various archives for experimentation, and after suitable pre-processing, develop and evaluate their algorithms on this dataset. The idea of using Merkel trees to detect for signature changes in this context is unique. The authors also do a good job of surveying related literature. The paper also covers various other tools in the domain of web archiving and retrieval in sufficient detail. 

My concern however is regarding the message of the paper. A lot of work has been done by the authors, but it's not clear what's to be gained. The idea that archived webpages (aka mementos) can render differently at different time points is certainly well known. The authors' experiments merely confirm this belief. Although in addition the authors also provide a few insights in terms of the types of errors that can be expected in this scenario, this is really not really substantial in terms of insight or utility. Additionally, the authors propose a statistic (called 'Change') that purportedly quantifies the changes in the mementos over time. It's not clear how or why this is useful, and what insights it is actually providing beyond what's already known. The authors could perhaps discuss their results and conclusions in greater detail.

(CONFIDENTIAL REMARKS FOR THE PROGRAM COMMITTEE) I wouldn't mind if others think this should be accepted. There are quite a few useful things here (esp. the literature review and pointers to web archiving tools) that readers are likely to find useful.","Overall evaluation: 1
Reviewer's confidence: 4
Recommend for best paper: no",1,,,,,2/24/2018,17:11,no
443,116,27,Omxx Alxxx,1,"(OVERALL EVALUATION) The authors describe a longitudinal study that was designed to get insights about retrievability of links over time. The study is performed in the context of archiving links for a story. The experiment consisted on issuing 7 queries daily on Google over a period of 7 months. Several statistics are presented, and the authors provide recommendations for building collections using search engine data. Methods are described in detail, so it is possible to replicate results.

The problem is very relevant to JCDL and the overall approach based on SERP scraping is interesting. Having said that, the focus of the paper changes along sections making it a difficult to understand what exactly is the problem that the authors are trying to solve. Sometimes, it looks like a study on Google ranking whereas in other sections is about news stories only.

The feedback below is mostly about the methods and the overall execution.

At first, the problem shares a similar structure to TDT (Topic Detection and Tracking) where the goal is to segment a stream of data and to identify new events. One can think of a variation where Google is providing the stream and the goal of the scraper is to segment the urls. There is no mention to TDT on related work.

The authors mention that a search engine is biased because it provides the most recent documents. Recency is a ranking feature by design. The ranking of search results is affected by behavioral factors like click data and queries. If the authors want to study the same topic over time, they need to study also how the topic evolves (topic tracking). One can enter the 7 queries on Google trends and have a clear view of the spikes, stories, and (more importantly) related queries. It is a bit surprising that the authors did not use trends as input signal on the scraper.

The difference between general and news is a bit unclear in the methodology. The intent for a news vertical is clear: the latest news on a topic. A generic SERP blends content from various sources as satisfying a user intent is more difficult.

Links are retrievable using the right query terms. Expecting the same ranking for the same query-url pair when the query is informational is probably not a realistic assumption. There is news content published daily, ranking changes, and query re-formulation (from query logs) evolves.

In summary: interesting idea with lots of potential. There are issues with the overall methodology.","Overall evaluation: 0
Reviewer's confidence: 4
Recommend for best paper: no",0,,,,,2/13/2018,19:39,no
